Markov Model
Data from: /cs/cbio/tommy/Enhancers/Data/*.seq

L = 500

order     alpha     Tr Er     Te Er
1         1.0065    0.1656    0.1608
2         1.0065    0.1522    0.1447
3         1.0047    0.1466    0.1419
4         1.0070    0.1428    0.1375
5         1.0050    0.1372    0.1347
6         1.0009    0.1252    0.1315  BEST
7         1.0004    0.0863    0.1341
8         1.0003    0.0140    0.1947

L = 600
1         1.0063    0.1625    0.1584
2         1.0076    0.1492    0.1453
3         1.0044    0.1437    0.1383
4         1.0045    0.1408    0.1344
5         1.0037    0.1338    0.1311
6         1.0028    0.1203    0.1279  BEST
7         1.0015    0.0873    0.1317
8         0.9973    0.0146    0.2021
